# date, home, score, away, score
2011-11-06 WAS 11 SF  19
2011-11-06 NO  27 TB  16
2011-11-06 IND  7 ATL 31
2011-11-06 OAK 24 DEN 38
2011-11-06 TEN 17 CIN 24
2011-11-06 NE  20 NYG 24
2011-11-06 SD  38 GB  45
2011-11-06 ARI 19 STL 13
2011-11-06 PIT 20 BAL 23
2011-11-07 PHI 24 CHI 30
2011-11-10 SD  17 OAK 24
2011-11-13 DAL 44 BUF  7
2011-11-13 CAR  3 TEN 30
2011-11-13 TB   9 HOU 37
2011-11-13 CIN 17 PIT 24
2011-11-13 IND  3 JAC 17
2011-11-13 KC  10 DEN 17
2011-11-13 PHI 17 ARI 21
2011-11-13 ATL 23 NO  26
2011-11-13 MIA 20 WAS  9
2011-11-13 CLE 12 STL 13
2011-11-13 SEA 22 BAL 17
2011-11-13 CHI 37 DET 13
2011-11-13 SF  27 NYG 20
2011-11-13 NYJ 16 NE  37
2011-11-14 GB  45 MIN  7
2011-11-17 DEN 17 NYJ 13
2011-11-20 MIA 35 BUF  8
2011-11-20 CLE 14 JAC 10
2011-11-20 BAL 31 CIN 24
2011-11-20 MIN 21 OAK 27
2011-11-20 WAS 24 DAL 27
2011-11-20 DET 49 CAR 35
2011-11-20 GB  35 TB  26
2011-11-20 SF  23 ARI  7
2011-11-20 STL  7 SEA 24
2011-11-20 ATL 23 TEN 17
2011-11-20 CHI 31 SD  20
2011-11-20 NYG 10 PHI 17
2011-11-21 NE  34 KC   3
2011-11-24 DET 15 GB  27
2011-11-24 DAL 20 MIA 19
2011-11-24 BAL 16 SF   6
2011-11-27 ATL 24 MIN 14
2011-11-27 JAC 13 HOU 20
2011-11-27 CIN 23 CLE 20
2011-11-27 NYJ 28 BUF 24
2011-11-27 STL 20 ARI 23
2011-11-27 IND 19 CAR 27
2011-11-27 TEN 23 TB  17
2011-11-27 SEA 17 WAS 23
2011-11-27 OAK 25 CHI 20
2011-11-27 PHI 20 NE  38
2011-11-27 SD  13 DEN 16
2011-11-27 KC   9 PIT 13
2011-11-28 NO  49 NYG 24
2011-12-01 SEA 31 PHI 14
